,total_bins,total_time,bin_1_utilization,bin_2_utilization,bin_3_utilization,bin_4_utilization,bin_5_utilization,bin_6_utilization,bin_7_utilization,bin_8_utilization,bin_9_utilization,bin_10_utilization,bin_11_utilization,bin_12_utilization,bin_13_utilization,bin_14_utilization,bin_15_utilization,bin_16_utilization,bin_17_utilization,bin_18_utilization,bin_19_utilization,bin_20_utilization,bin_21_utilization,bin_22_utilization,bin_23_utilization,bin_24_utilization,bin_25_utilization,bin_26_utilization,bin_27_utilization,bin_28_utilization,bin_29_utilization,bin_30_utilization,bin_31_utilization,bin_32_utilization,bin_33_utilization,bin_34_utilization,bin_35_utilization,bin_36_utilization,bin_37_utilization,bin_38_utilization,bin_39_utilization,bin_40_utilization,bin_41_utilization,bin_42_utilization,bin_43_utilization,bin_44_utilization,bin_45_utilization,bin_46_utilization,bin_47_utilization,bin_48_utilization,bin_49_utilization,bin_50_utilization
0,16,0.000997066,88.245,98.73,93.43,89.24,91.7,81.67,83.01,89.835,90.185,80.7,78.12,67.92,87.52,76.5,56.855,37.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,0.001994133,94.155,87.97,87.325,91.885,79.51,96.045,92.065,85.99,96.38,75.765,63.95,92.055,70.97,47.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,0.003986835,91.24,92.32,89.615,84.265,84.105,64.005,86.48,66.115,74.925,95.34,78.495,85.805,75.905,81.46,70.385,55.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,0.001994371,87.57,90.83,85.44,86.705,75.02,82.645,71.28,90.03,83.85,74.635,74.74,69.5,83.42,90.165,62.205,59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,0.004021883,93.25,89.65,85.55,84.135,83.375,87.41,84.905,60.33,59.445,76.93,75.845,83.795,62.97,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,0.000980616,94.36,95.43,93.39,89.42,87.695,84.585,89,91.04,71.85,94.55,79.255,69.435,30.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,0.003993034,87.17,91.41,86.55,75.965,82.395,89.35,92.115,77.48,94.445,81.76,89.595,68.48,70.25,61.37,74.065,68.08,77.7,41.82,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15,0.001992464,92.5,90.355,78.685,78.59,76.045,96.695,77.79,80.085,80.265,86.21,79.005,80.62,72.43,73.86,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17,0.001030922,88.49,89.145,82.22,74.88,91.055,76.785,89.445,79.435,69.755,77.93,66.58,29.12,82.68,63.835,45.6,72.12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16,0.004026175,91.635,93.31,89.045,84.785,95.275,90.39,80.155,66.685,57.1,85.34,51.695,48.195,68.8,85.25,63.58,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12,0.001990795,97.525,83.555,93.32,96.405,88.68,88.77,85.41,76.045,95.845,90.91,87.96,27.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,0.004986048,96.37,89.58,92.695,86.4,92.44,85.52,87.555,85.64,83.17,79.025,79.125,77.625,90.315,73.05,24.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17,0.001993418,98.895,95.28,93.845,88.735,77.855,72.09,74.78,70.765,72.79,92.55,87.345,80.19,77.15,81.2,64.725,55.685,58.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,0.001993656,94.455,90.01,86.845,74.08,82.45,88.345,83.705,84.42,83.875,84.125,79.43,96.345,97.495,72.2,75.44,46.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,0.001994133,92.385,93.26,87.52,98.105,84.83,93.135,87.23,78.18,65.42,74.85,77,67.5,56.655,87.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11,0.002994776,93.35,80.785,86.485,92,85.04,77.37,78.845,84.82,82.86,83.28,63.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,0.004988909,95.835,94.865,83.155,87.39,81.245,84.05,71.85,75.54,75.06,64.125,76.16,57.35,55.055,59.525,93.16,40.04,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,0.001992226,91.16,86.38,77.94,90.82,82.69,64.6,78.165,62.6,76.065,76.14,81.005,90.155,74.7,96.765,57.2,73.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,0.000997305,94.11,90.49,82.17,88.36,84.105,80.92,90.805,92.135,74.32,83.64,55.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16,0.001027822,91.275,92.12,84.585,89.325,87.01,89.66,85.74,87.1,78.145,83.41,69.28,76.45,54.405,33.39,47.745,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,301,0.002498829,92.69875,90.77375,86.9905,86.5745,84.626,83.702,83.5165,79.2135,78.2875,82.06075,74.6995,70.45361111,71.23882353,70.51875,57.68423077,52.20636364,57.2725,41.82,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
