Itterations,total_bins,total_time,bin_1_utilization,bin_2_utilization,bin_3_utilization,bin_4_utilization,bin_5_utilization,bin_6_utilization,bin_7_utilization,bin_8_utilization,bin_9_utilization,bin_10_utilization,bin_11_utilization,bin_12_utilization,bin_13_utilization,bin_14_utilization,bin_15_utilization,bin_16_utilization,bin_17_utilization,bin_18_utilization,bin_19_utilization
1,16,0.012994289,88.245,98.73,92.32,89.24,91.7,81.67,83.985,89.835,85.125,77.575,90.67,73.17,85.335,78.55,74.925,10.02,,,
2,14,0.019940853,92.94,80.07,91.365,96.96,79.51,96.045,90.47,92.815,96.38,75.765,58.72,80.355,78.365,51.88,,,,,
3,16,0.021939278,91.24,92.11,89.195,84.895,84.105,60.735,63.115,74.19,74.925,95.34,76.975,81.78,82.93,75.25,78.785,70.805,,,
4,16,0.025926352,87.57,90.83,85.44,86.705,71.77,82.645,71.28,90.03,84.14,74.635,77.99,77.69,83.12,81.985,62.205,59.73,,,
5,14,0.059836388,93.25,83.445,88.32,80.825,84.345,76.17,73.89,73.69,61.85,69.38,71.17,75.845,75.955,64.495,,,,,
6,13,0.02296114,94.36,94.85,92.7,89.42,87.695,83.685,89.52,84.02,70.42,91.57,80.83,76.4,34.88,,,,,,
7,19,0.044876814,86.845,89.695,84.35,69.85,62.72,85.9,86.66,85.725,94.445,80.505,81.76,89.595,66.4,59.61,48.05,47.53,77.7,73.06,84.1
8,14,0.019980431,87.14,95.715,78.685,78.59,76.045,96.695,73.49,84.385,85.525,83.53,79.005,84.945,77.865,76.1,,,,,
9,17,0.018950939,90.85,92.595,81.72,68.525,78.85,76.785,83.445,86.98,87.04,59.97,56.18,42.895,79.475,75.595,46.05,72.12,48,,
10,16,0.014957905,91.635,93.31,88.505,82.935,92.05,92.38,73.8,64.3,57.1,89.18,53.595,51.42,56.4,85.79,78.84,34.03,,,
11,12,0.015984058,97.525,83.06,93.32,95.805,89.175,86.4,87.78,91.815,93.785,89.235,73.275,30.875,,,,,,,
12,15,0.042877913,96.17,89.535,92.695,86.4,92.44,83.12,85.755,85.64,79.57,77.095,82.275,79.425,90.315,81.15,21.28,,,,
13,17,0.021939516,98.895,95.28,93.845,88.735,77.855,72.09,66.705,70.765,66.465,92.55,83.675,69.3,83.475,85.85,70.965,67.43,58.89,,
14,16,0.024929285,94.455,90.01,83.4,73.565,86.995,89.345,83.705,84.42,83.875,76.285,83.39,86.17,91.535,82.375,89.24,40.84,,,
15,14,0.015954018,91.99,93.15,87.52,98.105,87.155,93.59,90.27,68.785,74.815,81.41,82.6,73.205,58.655,61.935,,,,,
16,11,0.017950058,93.35,80.385,80.895,89.535,86.97,87.21,85.87,85.62,84.265,81,53.425,,,,,,,,
17,17,0.014956474,95.835,94.865,83.155,87.39,78.235,84.095,72.52,75.54,75.06,66.65,75.93,57.35,70.83,43.75,93.16,40.04,44.5,,
18,17,0.021938801,91.16,84.76,77.79,90.97,80.375,64.6,62.6,78.165,76.065,76.395,79.975,86.775,74.09,96.765,59.64,61.88,18.36,,
19,11,0.02892065,93.88,83.81,85.45,88.33,84.015,83,93.73,92.135,78.18,86.99,47.25,,,,,,,,
20,16,0.020946503,91.275,92.12,83.71,89.99,84.67,89.66,85.19,75.97,65.35,68.74,84.695,90.49,40.5,48.15,47.745,42.255,,,
AVG,15.05,0.024438083,92.4305,89.91625,86.719,85.8385,82.83375,83.291,80.189,81.74125,78.719,79.69,73.66925,72.64916667,72.36029412,71.826875,64.24041667,49.69818182,49.49,73.06,84.1
,,,92.4305,89.91625,86.719,85.8385,82.83375,83.291,80.189,81.74125,78.719,79.69,73.66925,72.64916667,72.36029412,71.826875,64.24041667,49.69818182,49.49,78.58,65.54927632
,,,,,,,,,,,,,,,,,,,,,
,,,,,,86.83,78.8,63.54,,,,,,,,,,,,,
