filename,iteration,total_bins,total_area_left,time,utilizations
10_2_generated_code.py,0,16,61781,10.05221415,"[98.72999999999999, 92.215, 89.24, 91.7, 84.14, 85.5, 87.845, 89.79, 78.075, 91.17, 90.02, 81.545, 69.065, 79.815, 50.370000000000005, 31.874999999999996]"
10_2_generated_code.py,1,15,67672,12.90952539,"[95.0, 88.2, 86.545, 87.7, 95.92, 82.125, 76.85499999999999, 87.63, 76.605, 86.35000000000001, 82.50999999999999, 62.525, 63.370000000000005, 57.794999999999995, 32.51]"
10_2_generated_code.py,2,16,64725,10.39025068,"[93.72, 95.375, 77.17500000000001, 85.21, 73.04, 89.765, 81.425, 90.595, 84.265, 80.89, 80.745, 85.545, 74.875, 84.23, 91.69, 7.829999999999999]"
10_2_generated_code.py,3,15,46447,13.77762437,"[91.36999999999999, 90.03, 94.715, 89.63499999999999, 83.85000000000001, 86.795, 83.32000000000001, 83.91, 87.6, 92.23, 86.675, 86.79, 80.595, 70.98, 59.27]"
10_2_generated_code.py,4,14,65474,8.791361332,"[95.075, 96.54, 92.61500000000001, 87.69500000000001, 91.75999999999999, 96.41999999999999, 80.655, 84.345, 70.61, 60.12, 43.32, 41.245, 88.02, 44.21]"
10_2_generated_code.py,5,13,45930,14.12328315,"[95.6, 91.605, 95.82000000000001, 92.135, 86.00999999999999, 94.85, 84.49, 81.23, 83.22, 69.08999999999999, 80.485, 81.81, 34.005]"
10_2_generated_code.py,6,19,89100,21.4082129,"[90.835, 92.99, 92.11500000000001, 85.11, 89.06500000000001, 71.07, 84.35000000000001, 84.38, 72.485, 68.375, 50.88, 68.26, 77.99000000000001, 75.755, 71.6, 73.47, 61.0, 74.875, 69.895]"
10_2_generated_code.py,7,15,68457,8.164412975,"[96.38, 87.3, 89.55499999999999, 80.03, 65.88000000000001, 91.53, 88.465, 79.78, 84.6, 69.88, 62.405, 70.365, 51.895, 94.60499999999999, 45.045]"
10_2_generated_code.py,8,16,74585,9.941418171,"[98.0, 96.665, 91.86999999999999, 90.91, 86.11, 82.025, 68.955, 68.17, 90.99000000000001, 81.565, 72.41499999999999, 77.595, 52.65, 56.61000000000001, 37.95, 74.595]"
10_2_generated_code.py,9,16,82946,9.881717682,"[92.605, 95.19, 70.265, 89.67, 84.28999999999999, 81.22500000000001, 82.705, 64.915, 76.53, 70.03, 89.2, 77.865, 65.325, 70.0, 64.705, 10.75]"
10_2_generated_code.py,10,12,37590,11.21900916,"[97.91, 95.17, 88.57000000000001, 95.94, 96.615, 88.55499999999999, 83.42, 64.85499999999999, 79.69000000000001, 73.545, 78.8, 68.97999999999999]"
10_2_generated_code.py,11,14,35427,9.482660294,"[93.73, 90.67, 88.57000000000001, 92.72, 85.52, 86.74, 85.125, 77.01, 82.235, 92.935, 90.14999999999999, 80.375, 91.33, 85.75500000000001]"
10_2_generated_code.py,12,17,71446,14.06797814,"[95.28, 98.895, 89.52, 90.995, 93.56, 84.255, 91.995, 88.965, 73.775, 63.839999999999996, 64.845, 88.735, 76.775, 72.39999999999999, 75.29, 44.995000000000005, 48.65]"
10_2_generated_code.py,13,17,76079,12.00151372,"[97.295, 91.745, 88.275, 89.215, 82.175, 79.58, 74.61, 76.05, 78.8, 58.875, 89.53, 69.455, 70.08, 67.17999999999999, 65.145, 81.5, 60.095]"
10_2_generated_code.py,14,14,51363,12.3829267,"[97.78999999999999, 94.625, 87.47500000000001, 94.01, 81.735, 89.825, 85.52499999999999, 80.55499999999999, 83.61, 82.69, 84.93, 83.84, 53.445, 43.13]"
10_2_generated_code.py,15,12,58295,9.240324259,"[92.61500000000001, 92.75999999999999, 85.14500000000001, 82.01, 84.745, 93.245, 86.885, 89.735, 75.74, 59.975, 51.334999999999994, 14.335]"
10_2_generated_code.py,16,16,72219,12.02184606,"[95.765, 95.46, 93.71000000000001, 86.91499999999999, 87.83, 92.06, 92.91, 65.28500000000001, 68.355, 62.050000000000004, 69.33500000000001, 64.09, 63.92, 76.265, 67.75, 57.205]"
10_2_generated_code.py,17,16,67927,13.08872342,"[97.795, 93.75, 91.565, 89.905, 79.715, 79.38499999999999, 64.60000000000001, 67.64, 58.135000000000005, 63.51, 77.35, 94.875, 65.69500000000001, 84.30499999999999, 82.37, 69.77]"
10_2_generated_code.py,18,11,36646,10.89735484,"[98.35000000000001, 94.755, 93.83, 89.045, 81.77, 73.92, 89.3, 78.84, 86.32, 81.58, 49.059999999999995]"
10_2_generated_code.py,19,15,63898,13.82973814,"[92.75, 92.12, 85.07000000000001, 84.905, 82.625, 78.69, 89.875, 83.89999999999999, 78.175, 82.765, 82.125, 82.71, 74.11, 54.779999999999994, 35.91]"
AVG,,14.95,,11.88360478,
