filename,total_bins_avg,total_area_left_avg
12_generated_code.py,17.66666667,77163.33333
14_generated_code.py,17.66666667,77163.33333
15_generated_code.py,17.66666667,77163.33333
19_generated_code.py,17.66666667,77163.33333
4_generated_code.py,17.66666667,77163.33333
5_generated_code.py,17.66666667,77163.33333
7_generated_code.py,17.66666667,77163.33333
13_generated_code.py,18.66666667,97163.33333
1_generated_code.py,22.66666667,177163.3333
3_generated_code.py,23,183830
9_generated_code.py,25,223830
10_generated_code.py,28.33333333,290496.6667
16_generated_code.py,28.33333333,290496.6667
20_generated_code.py,28.33333333,290496.6667
6_generated_code.py,34.33333333,410496.6667
17_generated_code.py,39.33333333,510496.6667
